area_type,availability,location,size,total_sqft,bath,balcony,price,bhk
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1160.0,2.0,2.0,42.0,3.0
Plot  Area,Ready To Move,Babusapalaya,2 Bedroom,1200.0,2.0,0.0,105.0,2.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,1220.0,2.0,1.0,35.2,3.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,1328.0,2.0,2.0,69.0,2.0
Super built-up  Area,Ready To Move,BSM Extension,2 BHK,975.0,2.0,2.0,45.0,2.0
Built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,1907.0,2.0,1.0,200.0,3.0
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,900.0,2.0,1.0,72.0,2.0
Super built-up  Area,Ready To Move,Banashankari 6th Stage,2 BHK,1330.0,2.0,2.0,80.0,2.0
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,2330.0,5.0,1.0,175.0,4.0
Built-up  Area,Ready To Move,Munnekollal,3 BHK,1222.0,3.0,2.0,95.0,3.0
Plot  Area,Ready To Move,Dodsworth Layout,3 Bedroom,4446.0,3.0,2.0,410.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2100.0,3.0,1.0,135.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,3335.0,4.0,3.0,290.0,4.0
Built-up  Area,18-Apr,Whitefield,3 Bedroom,3150.0,3.0,1.0,290.0,3.0
Plot  Area,Ready To Move,Jnana Ganga Nagar,3 Bedroom,1320.0,2.0,1.0,95.0,3.0
Plot  Area,Ready To Move,9th Phase JP Nagar,7 Bedroom,820.0,7.0,3.0,140.0,7.0
Plot  Area,Ready To Move,Shetty Halli,5 Bedroom,8000.0,5.0,3.0,550.0,5.0
Plot  Area,Ready To Move,Hennur Road,4 Bedroom,2400.0,5.0,3.0,500.0,4.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1330.0,2.0,2.0,46.55,3.0
Plot  Area,Ready To Move,Hosur Road,4 Bedroom,2000.0,4.0,1.0,130.0,4.0
Super built-up  Area,18-Jun,Electronic City Phase II,2 BHK,1244.0,2.0,1.0,55.0,2.0
Super built-up  Area,Ready To Move,Konena Agrahara,2 BHK,1000.0,2.0,1.0,50.0,2.0
Super built-up  Area,18-May,Gunjur Palya,3 BHK,1400.0,3.0,2.0,45.0,3.0
Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,1000.0,2.0,2.0,35.0,2.0
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,1056.0,1.0,0.0,250.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1250.0,2.0,2.0,50.0,3.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,2630.0,5.0,0.0,188.0,4.0
Super built-up  Area,18-Aug,Jeevan bima nagar,2 BHK,1225.0,2.0,2.0,48.0,2.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,2790.0,5.0,3.0,198.0,4.0
Super built-up  Area,Ready To Move,Indira Nagar,4 BHK,2800.0,4.0,3.0,365.0,4.0
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,1683.0,3.0,3.0,80.0,3.0
Built-up  Area,Ready To Move,Yelahanka,2 BHK,1250.0,2.0,2.0,54.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1305.0,2.0,1.0,110.0,3.0
Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,3009.0,3.0,1.0,331.0,3.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,1150.0,2.0,1.0,57.5,3.0
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1654.0,3.0,3.0,70.0,3.0
Carpet  Area,Ready To Move,Munivenkatppa Layout,4 BHK,4500.0,3.0,0.0,225.0,4.0
Super built-up  Area,18-May,Kadugodi,3 BHK,1890.0,4.0,3.0,125.0,3.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1069.0,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,750.0,1.0,1.0,18.5,2.0
Plot  Area,Ready To Move,Banashankari,4 Bedroom,675.0,4.0,0.0,140.0,4.0
Built-up  Area,17-Dec,Hormavu,3 Bedroom,2400.0,3.0,1.0,177.0,3.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,2.0,240.0,5.0
Plot  Area,Ready To Move,Koramangala,4 Bedroom,1410.0,2.0,0.0,280.0,4.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,3.0,130.0,3.0
Super built-up  Area,Ready To Move,Sadanand Nagar,3 BHK,3500.0,4.0,2.0,500.0,3.0
Super built-up  Area,18-Jul,Sarjapur  Road,3 BHK,1700.0,3.0,2.0,93.5,3.0
Plot  Area,Ready To Move,Brindavan Layout,4 Bedroom,2200.0,2.0,0.0,150.0,4.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1595.0,3.0,1.0,105.0,3.0
Super built-up  Area,15-Nov,Hennur Road,3 BHK,1480.0,3.0,2.0,100.0,3.0
Plot  Area,Ready To Move,Bethel Nagar,3 Bedroom,1092.0,3.0,1.0,95.0,3.0
Super built-up  Area,19-Sep,Koramangala,3 BHK,1866.0,4.0,2.0,245.0,3.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3895.0,3.0,2.0,390.0,3.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1683.0,3.0,2.0,115.0,3.0
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,545.0,2.0,1.0,22.34,2.0
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1340.0,2.0,2.0,73.0,2.0
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",3 BHK,1100.0,3.0,2.0,53.0,3.0
Plot  Area,Ready To Move,Akshaya Nagar,1 Bedroom,2000.0,1.0,0.0,200.0,1.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1185.0,2.0,2.0,56.0,2.0
Super built-up  Area,18-Aug,Chandapura,2 BHK,1025.0,2.0,2.0,27.68,2.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1730.0,3.0,1.0,95.0,3.0
Super built-up  Area,19-Sep,Hennur Road,3 BHK,1450.0,3.0,1.0,88.6,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1862.0,4.0,1.0,110.0,3.0
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,4000.0,5.0,1.0,578.0,4.0
Built-up  Area,Ready To Move,Old Madras Road,3 BHK,2430.0,5.0,2.0,180.0,3.0
Super built-up  Area,20-Sep,Hoodi,1 BHK,863.0,1.0,0.0,40.55,1.0
Super built-up  Area,Ready To Move,Chambenahalli,2 BHK,1170.0,2.0,3.0,50.0,2.0
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,1075.0,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,1060.0,2.0,1.0,34.0,2.0
Super built-up  Area,17-Jun,Sarjapur,2 BHK,850.0,2.0,2.0,32.0,2.0
Super built-up  Area,Ready To Move,P&T Layout,2 BHK,935.0,2.0,1.0,45.9,2.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,4 BHK,1905.0,3.0,2.0,86.0,4.0
Built-up  Area,Ready To Move,8th Block Jayanagar,6 Bedroom,2000.0,6.0,3.0,300.0,6.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1125.0,2.0,1.0,47.0,2.0
Plot  Area,Ready To Move,9th Phase JP Nagar,6 Bedroom,600.0,6.0,2.0,75.0,6.0
Built-up  Area,Ready To Move,Chikkabanavar,4 Bedroom,1500.0,4.0,1.0,105.0,4.0
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1725.0,3.0,3.0,85.0,3.0
Super built-up  Area,Ready To Move,Dodda Banaswadi,2 BHK,1120.0,2.0,3.0,36.0,2.0
Super built-up  Area,Ready To Move,Brookefield,3 BHK,1750.0,2.0,2.0,75.0,3.0
Super built-up  Area,18-Jul,7th Phase JP Nagar,3 BHK,2000.0,3.0,2.0,77.0,3.0
Built-up  Area,Ready To Move,Koramangala,3 BHK,1745.0,3.0,3.0,98.0,3.0
Plot  Area,Ready To Move,Bagalakunte,5 Bedroom,750.0,3.0,1.0,95.0,5.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1270.0,2.0,2.0,55.25,3.0
Super built-up  Area,Ready To Move,Iblur Village,5 BHK,5384.0,5.0,3.0,420.0,5.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1180.0,2.0,2.0,72.0,2.0
Built-up  Area,Ready To Move,Shanti Nagar,2 BHK,1130.0,2.0,1.0,75.0,2.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,2774.0,4.0,3.0,197.0,4.0
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1723.0,3.0,2.0,95.0,3.0
Built-up  Area,Ready To Move,Mysore Road,2 BHK,1175.0,2.0,2.0,70.5,2.0
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,1607.0,2.0,2.0,112.0,3.0
Built-up  Area,18-May,Varanasi,2 BHK,1334.0,2.0,1.0,62.0,2.0
Built-up  Area,Ready To Move,Vishwapriya Layout,5 Bedroom,2800.0,5.0,3.0,130.0,5.0
Super built-up  Area,19-Mar,Bellandur,3 BHK,1138.0,3.0,2.0,128.0,3.0
Super built-up  Area,19-Dec,Bannerghatta,2 BHK,1113.0,2.0,1.0,70.0,2.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,1300.0,2.0,2.0,58.0,3.0
Plot  Area,Ready To Move,Judicial Layout,4 Bedroom,2400.0,4.0,2.0,350.0,4.0
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1200.0,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,cooketown,3 BHK,1900.0,3.0,2.0,190.0,3.0
Super built-up  Area,Ready To Move,Jakkur,4 BHK,5150.0,4.0,3.0,559.0,4.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,1200.0,5.0,2.0,290.0,5.0
Super built-up  Area,18-Dec,Whitefield,4 BHK,2956.0,5.0,2.0,234.0,4.0
Plot  Area,Ready To Move,Begur Road,5 Bedroom,1100.0,5.0,1.0,165.0,5.0
Super built-up  Area,18-May,Panathur,2 BHK,1398.0,2.0,1.0,97.0,2.0
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,1152.0,1.0,0.0,66.0,2.0
Plot  Area,Ready To Move,Rajarajeshwarinagar,4 Bedroom,1200.0,5.0,2.0,325.0,4.0
Super built-up  Area,Ready To Move,Nagavara,2 BHK,1110.0,2.0,2.0,44.95,2.0
Built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1116.0,2.0,1.0,47.0,2.0
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,1061.0,2.0,1.0,33.84,2.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,620.0,1.0,1.0,86.8,1.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300.0,2.0,2.0,52.0,3.0
Built-up  Area,Ready To Move,Yelahanka,2 BHK,1270.0,2.0,2.0,57.0,2.0
Super built-up  Area,18-Apr,Peenya,2 BHK,966.0,2.0,2.0,50.0,2.0
Plot  Area,Ready To Move,AMS Layout,4 Bedroom,1200.0,4.0,1.0,110.0,4.0
Plot  Area,Ready To Move,Kodigehalli,4 Bedroom,1320.0,4.0,3.0,249.0,4.0
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,3596.0,5.0,1.0,297.0,4.0
Super built-up  Area,18-May,Kathriguppe IV Phase,3 BHK,1630.0,3.0,2.0,131.0,3.0
Super built-up  Area,Ready To Move,Kodipalya,5 BHK,600.0,6.0,3.0,72.0,5.0
Plot  Area,Ready To Move,Ramchandrapuram,4 Bedroom,600.0,4.0,2.0,60.0,4.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,1202.0,2.0,1.0,65.0,2.0
Plot  Area,Ready To Move,Pampa Extension,4 Bedroom,1200.0,4.0,2.0,250.0,4.0
Built-up  Area,Ready To Move,Jakkur,2 BHK,1300.0,2.0,2.0,80.0,2.0
Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,1200.0,6.0,2.0,330.0,6.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1360.0,2.0,1.0,70.0,3.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1155.0,2.0,1.0,69.18,2.0
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2378.0,3.0,1.0,310.0,3.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1011.0,2.0,2.0,38.0,2.0
Built-up  Area,Ready To Move,HSR Layout,2 BHK,1203.0,2.0,2.0,72.0,2.0
Super built-up  Area,19-Dec,Hebbal,3 BHK,1645.0,3.0,2.0,113.0,3.0
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1364.0,2.0,3.0,50.0,3.0
Plot  Area,19-Jan,Anekal,2 Bedroom,1200.0,1.0,1.0,36.0,2.0
Built-up  Area,Ready To Move,KR Layout,1 BHK,1050.0,2.0,2.0,41.0,1.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1365.0,3.0,3.0,66.0,3.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,1252.0,3.0,3.0,70.0,3.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,1221.0,3.0,2.0,65.0,3.0
Built-up  Area,Ready To Move,Panathur,2 BHK,1065.0,2.0,1.0,58.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1270.0,2.0,1.0,55.25,3.0
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1032.0,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Frazer Town,4 BHK,2900.0,4.0,2.0,325.0,4.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,1515.0,2.0,3.0,69.0,3.0
Super built-up  Area,Ready To Move,Akshaya Vana,2 BHK,1427.0,2.0,2.0,52.0,2.0
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,940.0,2.0,2.0,50.0,2.0
Plot  Area,18-Mar,Medahalli,5 Bedroom,800.0,5.0,1.0,95.0,5.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1460.0,2.0,2.0,80.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2275.0,4.0,2.0,175.0,3.0
Super built-up  Area,21-Sep,9th Phase JP Nagar,3 BHK,1522.0,3.0,2.0,90.0,3.0
Plot  Area,19-Jan,Basaveshwara Nagar Yelahanka,3 Bedroom,3210.0,4.0,2.0,380.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185.0,2.0,2.0,42.67,2.0
Super built-up  Area,Ready To Move,1Hoysalanagar,13 BHK,5425.0,13.0,0.0,275.0,13.0
Built-up  Area,Ready To Move,Banashankari,3 BHK,1800.0,3.0,2.0,125.0,3.0
Super built-up  Area,17-May,Electronics City Phase 1,2 BHK,940.0,2.0,1.0,44.0,2.0
Plot  Area,Ready To Move,Andrahalli,4 Bedroom,1200.0,4.0,2.0,135.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1530.0,3.0,2.0,71.0,3.0
Built-up  Area,Ready To Move,Gollahalli,2 BHK,1050.0,2.0,1.0,48.0,2.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,929.0,2.0,2.0,49.0,2.0
Built-up  Area,Ready To Move,Banjara Layout,4 Bedroom,3750.0,5.0,3.0,145.0,4.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1530.0,3.0,3.0,75.0,3.0
Plot  Area,Ready To Move,PC Palaya,2 Bedroom,900.0,2.0,1.0,48.0,2.0
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,978.0,2.0,1.0,34.22,2.0
Built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,4041.0,4.0,2.0,345.0,4.0
Super built-up  Area,Ready To Move,Ambalipura,1 BHK,770.0,1.0,2.0,43.82,1.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1066.0,2.0,3.0,55.0,2.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,635.0,1.0,0.0,28.0,1.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1015.0,2.0,1.0,45.0,2.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,1175.0,2.0,0.0,54.05,2.0
Plot  Area,Ready To Move,Chikkabanavar,4 Bedroom,1200.0,4.0,2.0,130.0,4.0
Super built-up  Area,18-May,Vidyaranyapura,2 BHK,1188.0,2.0,1.0,50.0,2.0
Plot  Area,Ready To Move,Indira Nagar,5 Bedroom,2400.0,5.0,2.0,700.0,5.0
Super built-up  Area,19-Oct,Soppahalli,1 BHK,620.0,1.0,1.0,25.0,1.0
Built-up  Area,Ready To Move,Ejipura,2 BHK,1210.0,2.0,0.0,75.0,2.0
Plot  Area,18-Apr,Attibele,3 Bedroom,1000.0,3.0,1.0,90.0,3.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1500.0,2.0,2.0,99.0,3.0
Plot  Area,Ready To Move,Electronic City,4 Bedroom,1800.0,3.0,2.0,190.0,4.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185.0,2.0,2.0,43.66,2.0
Built-up  Area,Ready To Move,Basavangudi,3 BHK,1600.0,3.0,3.0,130.0,3.0
Super built-up  Area,Ready To Move,Gottigere,2 BHK,1100.0,2.0,1.0,28.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1300.0,2.0,2.0,69.23,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1100.0,2.0,1.0,68.0,2.0
Super built-up  Area,19-Apr,Ambalipura,2 BHK,860.0,2.0,1.0,28.93,2.0
Super built-up  Area,18-Jun,Panathur,2 BHK,1007.0,2.0,1.0,64.0,2.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1100.0,2.0,2.0,48.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1187.0,2.0,1.0,38.0,2.0
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,1150.0,2.0,2.0,72.0,2.0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,2400.0,3.0,2.0,252.0,3.0
Super built-up  Area,18-Apr,Aavalahalli,2 BHK,1180.0,2.0,3.0,41.94,2.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,1820.0,3.0,2.0,85.2,3.0
Plot  Area,Ready To Move,Hennur Bande,6 Bedroom,1200.0,6.0,3.0,180.0,6.0
Plot  Area,Ready To Move,Sector 1 HSR Layout,3 Bedroom,2400.0,6.0,2.0,775.0,3.0
Super built-up  Area,Ready To Move,KR Puram,4 BHK,3628.0,4.0,1.0,246.0,4.0
Built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,1430.0,3.0,2.0,70.0,3.0
Super built-up  Area,21-Jan,Kanakpura Road,2 BHK,700.0,2.0,1.0,40.0,2.0
Plot  Area,Ready To Move,Kattigenahalli,2 Bedroom,1200.0,1.0,0.0,70.0,2.0
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,1165.0,2.0,1.0,40.77,2.0
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,1569.0,3.0,2.0,118.0,3.0
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3 BHK,1950.0,4.0,3.0,95.0,3.0
Plot  Area,Ready To Move,Jayanti Nagar,2 Bedroom,1200.0,3.0,1.0,70.0,2.0
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,2437.0,3.0,2.0,125.0,3.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,950.0,2.0,2.0,46.7,2.0
Built-up  Area,18-Jul,Bellandur,3 BHK,1685.0,3.0,3.0,115.0,3.0
Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,3270.0,4.0,3.0,205.0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1314.0,2.0,2.0,110.0,2.0
Super built-up  Area,18-May,New Gurappana Palya,3 BHK,1250.0,3.0,2.0,40.0,3.0
Built-up  Area,Ready To Move,Virudhu Nagar,2 BHK,1130.0,2.0,2.0,68.0,2.0
Plot  Area,Ready To Move,Doddakannelli,6 Bedroom,1200.0,9.0,3.0,122.0,6.0
Plot  Area,Ready To Move,Sultan Palaya,6 Bedroom,890.0,5.0,2.0,160.0,6.0
Plot  Area,Ready To Move,kamanahalli main road,3 Bedroom,857.0,3.0,2.0,95.0,3.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2247.0,3.0,2.0,145.0,3.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1550.0,3.0,2.0,85.0,3.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1715.0,2.0,2.0,100.0,3.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1053.0,2.0,1.0,53.0,2.0
Plot  Area,Ready To Move,Begur Road,3 Bedroom,1200.0,3.0,0.0,50.0,3.0
Plot  Area,Ready To Move,HBR Layout,3 Bedroom,1800.0,2.0,1.0,230.0,3.0
Built-up  Area,Ready To Move,Chikkabanavar,5 Bedroom,2400.0,4.0,0.0,97.0,5.0
Super built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,1245.0,1.0,3.0,60.0,2.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1320.0,2.0,1.0,160.0,2.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,3940.0,5.0,3.0,265.0,4.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,1241.0,2.0,1.0,65.0,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2980.0,4.0,2.0,260.0,3.0
Plot  Area,Ready To Move,7th Block Koramangala,6 Bedroom,600.0,5.0,3.0,130.0,6.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1090.0,2.0,2.0,57.0,2.0
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,1390.0,2.0,1.0,50.0,3.0
Plot  Area,Ready To Move,Sampangi Rama Nagar,8 Bedroom,600.0,4.0,3.0,175.0,8.0
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,2750.0,5.0,2.0,275.0,3.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100.0,2.0,1.0,52.97,3.0
Built-up  Area,Ready To Move,Koramangala,2 BHK,1350.0,2.0,2.0,103.0,2.0
Built-up  Area,Ready To Move,Prakash Nagar,2 BHK,800.0,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,116.0,3.0
Built-up  Area,Ready To Move,BTM Layout,3 BHK,2400.0,3.0,2.0,220.0,3.0
Super built-up  Area,Ready To Move,Haralur Road,4 BHK,3700.0,4.0,2.0,325.0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691.0,3.0,2.0,93.01,3.0
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,2119.0,4.0,3.0,111.0,4.0
Plot  Area,18-Mar,Chikka Tirupathi,3 Bedroom,2325.0,3.0,2.0,95.0,3.0
Plot  Area,Ready To Move,Thyagaraja Nagar,5 Bedroom,570.0,5.0,0.0,80.0,5.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1896.0,3.0,2.0,102.0,3.0
Super built-up  Area,17-Oct,Banashankari Stage V,3 BHK,1540.0,3.0,2.0,48.51,3.0
Super built-up  Area,Ready To Move,Cambridge Layout,2 BHK,1244.0,2.0,2.0,95.0,2.0
Super built-up  Area,Ready To Move,Hormavu,3 BHK,1365.0,2.0,2.0,65.0,3.0
Super built-up  Area,18-May,Thanisandra,1 BHK,580.0,1.0,1.0,27.5,1.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,1355.0,3.0,2.0,83.87,3.0
Plot  Area,Ready To Move,Bharat Nagar,3 Bedroom,1500.0,4.0,2.0,180.0,3.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1513.0,2.0,3.0,62.0,2.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1175.0,2.0,1.0,41.13,2.0
Super built-up  Area,17-Jan,Thanisandra,3 BHK,2087.0,4.0,2.0,139.0,3.0
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,2273.0,3.0,2.0,145.0,3.0
Super built-up  Area,19-May,Thanisandra,3 BHK,2050.0,3.0,2.0,150.0,3.0
Built-up  Area,Ready To Move,Garebhavipalya,2 Bedroom,1200.0,2.0,1.0,75.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1190.0,2.0,3.0,59.0,2.0
Super built-up  Area,Ready To Move,Kodigehalli,4 BHK,600.0,3.0,2.0,85.0,4.0
Super built-up  Area,18-Apr,Marathahalli,2 BHK,1019.0,2.0,2.0,49.86,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,1830.0,3.0,2.0,133.0,3.0
Plot  Area,Ready To Move,Channasandra,7 Bedroom,4278.0,7.0,1.0,299.0,7.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1028.0,2.0,1.0,56.0,2.0
Built-up  Area,Ready To Move,Old Madras Road,2 BHK,1300.0,2.0,2.0,100.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1160.0,2.0,1.0,67.0,2.0
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1505.0,3.0,2.0,78.0,3.0
Super built-up  Area,Ready To Move,Kogilu,2 BHK,1250.0,2.0,1.0,55.55,2.0
Plot  Area,Ready To Move,Ramchandrapuram,1 Bedroom,400.0,2.0,1.0,50.0,1.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1175.0,2.0,1.0,41.68,2.0
Super built-up  Area,Ready To Move,Janatha Colony,2 BHK,1100.0,2.0,2.0,57.6,2.0
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3 BHK,2159.0,3.0,2.0,120.0,3.0
Super built-up  Area,18-May,Devanahalli,2 BHK,1230.0,2.0,1.0,56.45,2.0
Plot  Area,Ready To Move,Gkvk Layout,3 Bedroom,1200.0,4.0,2.0,180.0,3.0
Built-up  Area,Ready To Move,Channasandra Layout,5 Bedroom,3100.0,6.0,1.0,165.0,5.0
Super built-up  Area,18-Jun,Old Madras Road,5 BHK,5020.0,7.0,0.0,287.0,5.0
Built-up  Area,Ready To Move,Hegganahalli,1 Bedroom,1200.0,1.0,0.0,48.0,1.0
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,1340.0,2.0,1.0,71.0,2.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1750.0,2.0,2.0,89.0,3.0
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,1400.0,2.0,1.0,100.0,2.0
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1350.0,3.0,0.0,60.0,3.0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,1675.0,3.0,3.0,62.0,3.0
Super built-up  Area,21-Dec,Thanisandra,2 BHK,1340.0,2.0,1.0,66.33,2.0
Built-up  Area,Ready To Move,Malleshwaram,2 Bedroom,600.0,1.0,0.0,68.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1276.0,2.0,2.0,76.0,2.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,1738.0,2.0,3.0,76.0,3.0
Super built-up  Area,Ready To Move,"Hoodi Circle, ",2 BHK,1190.0,2.0,2.0,59.9,2.0
